schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
"University of Nevada, Las Vegas",BS,Bob Beers,,1959-10-14,,Sarah Beers,,,,,,,,"Member of the Las Vegas City Councilfrom the 2nd ward,Member of the Nevada Senatefrom the 6th district,Member of the Nevada  Assemblyfrom the 4th district"
University of Liverpool,BSc,Bob Blackman,,1956-04-26,,Nicola Blackman,,,,,,,,"Executive Secretary of the 1922 Committee,Member of Parliament  for Harrow East,Member of the London Assemblyfor Brent and Harrow"
University of Liverpool,BSc,Bob Blackman,,1956-04-26,,Nicola Blackman,,,,,,,,"Executive Secretary of the 1922 Committee,Member of Parliament  for Harrow East,Member of the London Assemblyfor Brent and Harrow"
Vanderbilt,,,,,,,,,,,,,,"Vanderbilt Commodores,Personal information,Career history,Career highlights and awards"
"Montana State University,University of Montana","BA,MEd",Bob Brown,,1947-12-11,,,,,,,,,,"Secretary of State of Montana,Member of the Montana House of Representativesfrom the . district,President of the Montana Senate,Member of the Montana Senate"
University of Birmingham,,Bob Blizzard,,1950-05-31,5 May 2022,,,,,,,,,"Lord Commissioner of the Treasury,Member of Parliament  for Waveney"
,,Bob Bryant,,1944-08-11, (aged 71),,,,,,,,,Member of the Georgia House of Representativesfrom the 162nd district
"Glendale Community College, Arizona",,Bob Burns,,1938-05-26,,Gayle Burns,,,,,,,,"Member of the Arizona Corporation Commission,President of the Arizona Senate,Member of the Arizona Senatefrom the 9th district,Member of the Arizona House of Representativesfrom the 17th district"
"Eastern Michigan University,FBI National Academy",,Bob Bezotte,, 1951 (age 70–71),,,,,,,,,,"Member of the Michigan House of Representativesfrom the 47th district,Military service"
,,Bob Bratina,Robert Bratina,1944 (age 77–78),,Carol Bratina,,,,,,,,"Member of the Canadian Parliament for Hamilton East—Stoney Creek,56th Mayor of Hamilton,Hamilton City Councillor"
"Texas Tech University,B.A.,Baylor University",,Bob Bullock,Robert Douglas Bullock,1929-07-10,"June 18, 1999",Amelia J. Hooks,,,3,,,,,"38th Lieutenant Governor of Texas,34th Comptroller of Texas,72nd Secretary of State of Texas,Member of the Texas House of Representativesfrom the 54th district,Military service"
,,Bob Buch,,1949-07-24,,Marcy,,,,,,Plumber,,Member of the Alaska House of Representativesfrom the 27th district
"Tufts University,Yale University","BA,MA,LLB",Bob Calhoun,Robert Lathan Calhoun,1937-07-22,"August 6, 2020",,,,,,,,,Member of the Virginia Senatefrom the 30th district
University of Melbourne,,Bob Cameron,Robert Graham Cameron,1963-03-19,,,,,3,,,,,"Minister for Emergency Services,Minister for Police and Emergency Services,Minister for Corrections,Minister for Agriculture,Minister for Local Government,Minister for WorkCover,Member of the Victorian Legislative Assembly for Bendigo West"
,,Bob Callahan,Robert V. Callahan,1937-04-11,"December 26, 2020",Lyn,,,4,,,Lawyer,,Ontario MPP
Stephen F. Austin State University,,Bob Cashell,Robert Alan Cashell,1938-04-22,"February 11, 2020",Nancy Parker,,,4,,,,,"27th Mayor of Reno,28th Lieutenant Governor of Nevada,Nevada System of Higher Education Board of Regents,Military service"
"College of the Holy Cross,George Washington University","BA,JD",Bob Casey Sr.,Robert Patrick Casey,1932-01-09,"May 30, 2000",Ellen Harding,,,Bob Casey Jr.,,,,,"42nd Governor of Pennsylvania,45th Auditor General of Pennsylvania,Member of the Pennsylvania Senatefrom the 22nd district"
,,Bob Chynoweth,,1941-06-07,,,,,,,,,,"Member of the Australian Parliamentfor Flinders,Member of the Australian Parliamentfor Dunkley"
"University of Tennessee,University of Memphis","BS,MBA",Bob Clement,,1943-09-23,,Mary Carson,,,2,,,,,Member of the U.S. House of Representativesfrom Tennessee's 5th district
"University of California, Berkeley",,Bob Cline,,1933-05-06,"May 15, 2020",Betty C. Robison (m. ? - div. 1980),,,2,,,Financial and Tax Consultant,,"Member of the California State Assemblyfrom the 37th district,Member of the California State Assemblyfrom the 64th district,Military service"
,,Bob Coffin,,1942-10-07,,Mary Coffin,,,3,,,,,"Ward 3 Councilman, Las Vegas City Council,Member of the Nevada Senatefrom the Clark 10 district,Member of the Nevada Senatefrom the Clark 3 (Dual-Member District) district,Member of the Nevada  Assemblyfrom the Clark 9 district"
,,Bob Collins,Robert Lindsay Collins,1946-02-08,21 September 2007,Rosemary Collins,,,,,,,,"Senator for the Northern Territory,Leader of the Opposition of the Northern Territory"
,,Bob Cortes,,1963-09-18,,Virginia,,,"Robert, Jr., Kylee, Randy",,,,,Member of the Florida House of Representativesfrom the 30th district
University of Miami,,Robert B. Crawford III “Bob or Bobby”,,1948-01-26,,Nancy Caswall Crawford,,,Robert B Crawford lV & Kristin Crawford Whitaker,,,Property Management,,"Agriculture Commissioner of Florida,President of the Florida Senate,Member of the Florida Senatefrom the 13th district,Member of the Florida House of Representativesfrom the 49th district"
,,Sir Robert Cotton,,1915-11-29,25 December 2006,,,,,,,"Businessman, pastoralist",,"Minister for Industry and Commerce,Minister for Science and Consumer Affairs,Minister for Civil Aviation,Senator for New South Wales,16th Ambassador of Australia tothe United States"
Drury University,"BS,MEd",Bob Dixon,,1969-05-27,,Amanda Dixon,,,,,,,,"Presiding Commissioner of Greene County,Member of the Missouri Senatefrom the 30th district,Member of the Missouri House of Representativesfrom the 140th district"
,,Bob Doris,,1973-05-11,,Janet Doris,,,2,,,,,"Convener of the Local Government and Communities Committee,Deputy Convener of the Health and Sport Committee,Member of the Scottish Parliamentfor Glasgow Maryhill and Springburn,Member of the Scottish Parliamentfor Glasgow.mw-parser-output .nobold{font-weight:normal}(1 of 7 Regional MSPs)"
University of Texas,,Bob Eckhardt,Robert Christian Eckhardt,1913-07-16,"November 13, 2001","Orissa Stevenson, Nadine Ellen Cannon, Celia Morris",,,Sarah Eckhardt,,,,,"Member of the U.S. House of Representativesfrom Texas's 8th district,Member of the Texas House of Representatives,Military service"
"Hinsdale Central High School,University of Illinois,Thunderbird School of Global Management,Southern Methodist University",,Bob Dudley,,1955-09-14,,Mary Dudley,,,,,,Businessman,,
Loyola Marymount University,,Bob Dornan,Robert Kenneth Dornan,1933-04-03,,Sallie Hansen,,,5,,,,,Member of the U.S. House of Representativesfrom California
Lynchburg College,BA,Bob Duff,,1971 (age 50–51),,Tracey,,,,,,,,"Majority Leader of the Connecticut State Senate,Member of the Connecticut State Senatefrom the 25th district,Member of the Connecticut House of Representativesfrom the 137th district"
"University of Washington,New York University","BA,JD",Bob Ferguson,Robert Watson Ferguson,1965-02-23,,Colleen Ferguson,,,2,,,,,"18th Attorney General of Washington,Chair of the King County Council,Member of the King County Council"
,,Bob F. Griffin,,1935-08-15,"July 7, 2021",,,,,,,,,"Speaker of the Missouri House of Representatives,Member of the Missouri House of Representativesfrom the 6th(10th; 1973–1993)(85th; 1971–1973) district"
Los Angeles Valley College,,Robert Dutton,Robert Dale Dutton,1950-10-13,,Andrea Guillen,,,Kara,,,CEO of Dutton & Associates,,"Member of the California Senatefrom the 31st district,Member of the California State Assemblyfrom the 63rd district,Minority Leader of the California Senate,Military service"
,,Bob Gannon,,"January 6, 1959", (aged 58),,,,2,,,,,Member of the Wisconsin State Assemblyfrom the 58th district
San Jose State University,,Bob Foster,,1947-01-01,,,,,,,,,,"27th Mayor of Long Beach, California,President, Southern California Edison,CSU Board of Trustees"
Campbell University,BS,Bob Etheridge,Bobby Ray Etheridge,1941-08-07,,Faye Etheridge,,,3,,,Politician,,"Member of the U.S. House of Representativesfrom North Carolina's 2nd district,North Carolina Superintendent of Public Instruction,Member of theNorth Carolina House of Representatives,Military service"
"Bates College,Washington and Lee University","BA,JD",Bob Goodlatte,Robert William Goodlatte,1952-09-22,,Maryellen Flaherty,,,2,,,,,"Chair of the House Judiciary Committee,Chair of the House Agriculture Committee,Member of the U.S. House of Representativesfrom Virginia's 6th district"
Columbia University,,Bob Hackett,,1949-08-03,,,,,,,,,,"Member of the Ohio Senatefrom the 10th district,Member of the Ohio House of Representativesfrom the 74th district"
"Wentworth Institute of Technology,University of Massachusetts Boston,Quincy College",,Bob Hedlund,,1961-07-12,,,,,,,,Small business owner,,"3rd Mayor of Weymouth,Member of the Massachusetts Senatefrom the Plymouth and Norfolk district"
,,"Robert E. Hickey, Jr.",,"Dayton, OH",,,,,,,,,,Member of the Ohio House of Representativesfrom the 39th district
Missouri State University,,Bob Holden,Robert Lee Holden Jr.,1949-08-24,,Lori Hauser,,,"Robert Lee Holden III, John D Holden",,,,,"53rd Governor of Missouri,42nd State Treasurer of Missouri,Member of the Missouri House of Representativesfrom the 136th district"
,,Robert Horner,Robert Nesbitt Horner,1932-07-03,27 June 2008,,,,,,,,,"Member of Parliamentfor Mississauga North,Member of Parliamentfor Mississauga West"
,,"R. R. ""Bob"" Greive",Raymond Robert Greive,1919-10-06,"July 1, 2004",,,,,,,,,"Member of the King County Councilfrom the 8th district,Member of the Washington Senatefrom the 34th district"
,,Robert S. Gardner,,1953/1954 (age 68–69),,LeAnn Gardner (divorced),,,,,,,,"Member of the Colorado Senatefrom the 12th district,Member of the Colorado House of Representativesfrom the 20th district,Member of the Colorado House of Representativesfrom the 21st district"
"University of New England,Australian National University",,Bob Howard,,1936-09-27,,,Lyall Howard,,,,,"University of Sydney,University of Wollongong",,
Westmont College,,Bob Huff,,1953-09-09,,Mei Mei,,,4,,,Agriculture businessman,,"Minority Leader of the California Senate,California State SenateRepublican Caucus Chair,Member of the California State Senatefrom the 29th district,California State AssemblyRepublican Caucus Chair,Member of the California State Assemblyfrom the 60th district"
,,Robert Jarvis,,1935-11-15,14 December 2017,,,,,,,,,Member of Parliamentfor Willowdale
Ohio State University Agricultural Technical Institute,AAS,Bob Gibbs,Robert Brian Gibbs,1954-06-14,,Jody Cox,,,3,,,,,"Member of theU.S. House of Representativesfrom Ohio,Member of the Ohio Senatefrom the 22nd district,Member of the Ohio House of Representativesfrom the 97th district"
Yale University,,,,"January 15, 1869","March 12, 1949",,,,,,,,,"Singles,Grand Slam singles results,Doubles,Grand Slam doubles results"
"Duke University,University of Virginia","BA,JD",Bob Inglis,Robert Durden Inglis,1959-10-11,,Mary Anne Inglis,,,,,,,,Member of the U.S. House of Representativesfrom South Carolina's 4th district
,,Bob Johnson,,1962-10-23,,,,,,,,,,"Member of the Arkansas House of Representativesfrom the 25th district,Speaker of the Arkansas House of Representatives,Member of the Arkansas Senatefrom the 18th district"
"University of Massachusetts, Amherst",BA,Bob Keenan,,1952-03-11,,Suzie,,,5,,,,,"President pro tempore of the Montana Senate,Member of the Montana Senatefrom the 5th district"
University of Nebraska–Lincoln,BS,Bob Kerrey,Joseph Robert Kerrey,1943-08-27,,Beverly Defnall,,,3,,,,,"United States Senatorfrom Nebraska,Chair of the Democratic Senatorial Campaign Committee,35th Governor of Nebraska,Military service"
"University of Notre Dame,Indiana",Indiana,Robert R. Kiley,,1935-09-16,"August 9, 2016",,,,,,,"Boston,Massachusetts Bay Transportation Authority,Metropolitan Transportation Authority,Commissioner of Transport for London",,"CEO of the Massachusetts Bay Transportation Authority,5th Chairman and CEO of the Metropolitan Transportation Authority,Commissioner of Transport for London"
,,Bob Kerns,,1930-12-08,"October 15, 1991",Ruth Kerns,,,2,,,,,Member of the Nevada  Assemblyfrom the 25th district
"Benedictine College,Southern Illinois University Carbondale,University of Illinois Urbana-Champaign","BA,MPA,PhD",Robert W. Kustra,Robert Walter Kustra,1943-03-21,,,,,,,,,,"President of Boise State University,43rd Lieutenant Governor of Illinois"
,,Bob Lake,,18 March 1938,,Faithe,,,,,,business owner,,
"Southern Methodist University,Duke University,Merton College, Oxford","BA,MA,MLitt,DPhil",Bob Krueger,Robert Charles Krueger,1935-09-19,"April 30, 2022",Kathleen Tobin,,,3,,,,,"United States Ambassador to Botswana,United States Ambassador to Burundi,United States Senatorfrom Texas,Member of the Texas Railroad Commission,Member of the U.S. House of Representativesfrom Texas's 21st district"
University of Minnesota,,Bob Latz,,1930-07-15,"April 19, 2022 (aged 91)",Carolyn Spater,,,Ron Latz,,,Attorney,,"Member of the Minnesota House of Representativesfrom the 39th district,Member of the Minnesota House of Representativesfrom the 35th district"
,,Robert Laxton,,1944-09-07,,,,,,,,,,Member of Parliamentfor Derby North
University of Phoenix,BA,Bob LeGare,,1956-02-03,,,,,,,,,,"Mayor of Aurora, Colorado"
"Bowling Green State University,University of Toledo","BA,JD",Bob Latta,Robert Edward Latta,1956-04-18,,Marcia Sloan,Del Latta,,2,,,,,"Member of the U.S. House of Representativesfrom Ohio's 5th district,Member of the Ohio House of Representativesfrom the 6th district,Member of the Ohio Senatefrom the 2nd district,Member of the Wood County Board of County Commissioners"
,,Bob Litherland,,1930-06-23,13 May 2011,Edna (1953-2011),,,2,,,,,Member of Parliament  for Manchester Central
,,Bob Margett,,1929-05-08,,Beverly,,,7,,,,,"Member of the California Senatefrom the 29th district,Member of the California State Assemblyfrom the 59th district"
"Balliol College, Oxford,Trinity College, Cambridge,Columbia University",,The Lord Maclennan of Rogart,Robert Adam Ross Maclennan,1936-06-26,18 January 2020,Helen Cutter Noyes,,,2,,,,,"President of the Liberal Democrats,Leader of the Liberal Democrats,Leader of Social Democratic Party,Parliamentary Under-Secretary of State for Prices and Consumer Protection,Member of the House of LordsLord Temporal,Member of Parliamentfor Caithness, Sutherland and Easter Ross.mw-parser-output .nobold{font-weight:normal}Caithness and Sutherland (1966–1997)"
Tulane University,"BA,JD",Bob Livingston,Robert Linlithgow Livingston Jr.,1943-04-30,,Bonnie Robichaux,,,4,,,,,"Chair of the House Appropriations Committee,Member of the U.S. House of Representativesfrom Louisiana's 1st district,Military service"
,,Bob Marshall,,1937-12-07,,Judy Marshall,,,,,,,,Member of the Kansas Senatefrom the 13th district
"University of Tampa,University of Illinois, Urbana-Champaign","MS,BS",Bob Martinez,,1934-12-25,,Mary Jane Marino,,,2,,,,,"Director of the Office of National Drug Control Policy,40th Governor of Florida,54th Mayor of Tampa"
"University of Arizona,California State University, Long Beach","California State University, Long Beach",Bob Lynn,,1933-02-23,"May 25, 2020",,,,,,,,,"Member of the Alaska House of Representativesfrom the 26th district,Member of the Alaska House of Representativesfrom the 23rd district,Member of the Alaska House of Representativesfrom the 31st district"
"Washington State University,Whitworth College",Whitworth College,Bob McCaslin Jr.,Robert Brian McCaslin,1957-11-21,,,Bob McCaslin Sr.,,,,,Teacher,,Member of the Washington House of Representativesfrom the 4th district
University of Western Australia,,Bob McMullan,,1947-12-10,,,,,,,,Trade unionist,,"Manager of Opposition Business in the House,Minister for Trade,Minister for the Arts,Minister for Administrative Services,Member of the Australian Parliamentfor Fraser,Member of the Australian Parliamentfor Canberra,Senator for the Australian Capital Territory,National Secretary of theAustralian Labor Party"
,,The Lord Mellish,,1913-03-03,9 May 1998,,,,,,,,,"Chief Whip of the Labour Party,Chief Whip of the House of CommonsParliamentary Secretary to the Treasury,Minister for Public Buildings and Works,Member of Parliament  for Bermondsey.mw-parser-output .nobold{font-weight:normal}(Rotherhithe 1946–1950)"
,,The Lord Mellish,,1913-03-03,9 May 1998,,,,,,,,,"Chief Whip of the Labour Party,Chief Whip of the House of CommonsParliamentary Secretary to the Treasury,Minister for Public Buildings and Works,Member of Parliament  for Bermondsey.mw-parser-output .nobold{font-weight:normal}(Rotherhithe 1946–1950)"
"University of Notre Dame,Boston University,Regent University","BBA,MA,MS,JD",Bob McDonnell,Robert Francis McDonnell,1954-06-15,,Maureen Gardner,,,5,,,,,"71st Governor of Virginia,44th Attorney General of Virginia,Member of the Virginia House of Delegatesfrom the 84th district,Military service"
Valley Forge Military Academy and College,,Bob Mensch,,1945-08-27,,,,,2,,,Legislator,,"Member of the Pennsylvania Senatefrom the 24th district,Member of the Pennsylvania House of Representativesfrom the 147th district"
Towson State College,B.A.,Bob Miller,,1953-07-25,,Joni Miller,,,Four sons,,,,,Member of the Alaska House of Representativesfrom the 7th district
"Santa Clara University,Loyola Marymount University","BA,JD",Bob Miller,Robert Joseph Miller,1945-03-30,,Sandy Miller,,,3,,,,,"26th Governor of Nevada,Chair of the National Governors Association,29th Lieutenant Governor of Nevada,Military service"
"Lackawanna College,Bethel College",,Bob Mellow,,1942-12-10,,,,,,,,,,"President pro tempore of the Pennsylvania Senate,Democratic Leaderof the Pennsylvania Senate,Member of the Pennsylvania Senatefrom the 22nd district"
University of Utah,"BS,MBA",Bob McDonald,Robert Alan McDonald,1953-06-20,,Diane McDonald,,,2,,,,,"8th United States Secretary of Veterans Affairs,Military service"
,,,,1941-07-28,,Nicole Mills,,,,,,,,Member of Parliamentfor Red Deer
Glenville State College,BS,Bob Mollohan,,"September 18, 1909","August 3, 1999",,,,,,,,,Member of the U.S. House of Representativesfrom West Virginia's 1st district
,,Bob Moretti,,1936-06-03,"May 12, 1984",Marilyn Ann Stotko (m. 1958),,,5,,,,,Member of the California State Assemblyfrom the 42nd district
,,Robert Nettle,,1924-01-19,"October 3, 2019",,,,,,,,,"Member of the Ohio Senatefrom the 28th district,Member of the Ohio House of Representativesfrom the 41st district"
"Alfred University,Alfred University",,Bob Morton,Harry Robert Morton,1934-05-19,"August 6, 2015",Linda K. Morton,,,,,,,,"Member of the Washington Senatefrom the 7th district,Member of the Washington House of Representativesfrom the 7th district"
London School of Economics,,Sir Bob Neill,Robert James MacGillivray Neill,1952-06-24,,Daphne White,,,,,,Politician,,"Chair of the Justice Select Committee,Parliamentary Under-Secretary of State for London, Local Government and Planning,Member of Parliament  for Bromley and Chislehurst,Leader of the Conservative Partyin the London Assembly,Member of the London Assemblyfor Bexley and Bromley"
"California Polytechnic State University, San Luis Obispo",,Bob Nimmo,,1922-02-05,"November 7, 2005",,,,,,,,,"Administrator of Veterans Affairs,Member of the California Senatefrom the 17th district,Member of the California State Assemblyfrom the 29th district,Military service"
,,Bob Netzley,,1922-12-07,"July 28, 2010",,,,,,,,,Member of the Ohio House of Representativesfrom the 43rd district
,,Bob O'Connor,,1944-12-09,"September 1, 2006",Judy Levine O'Connor,,,,,,,,"58th Mayor of Pittsburgh,President of the Pittsburgh City Council,Member of the Pittsburgh City Council from the 5th District"
Ohio State University,BS,Bob Ney,Robert William Ney,1954-07-05,,Liz Ney (Divorced),,,,,,,,"Member of the U.S. House of Representativesfrom Ohio's 18th district,Member of the Ohio Senatefrom the 20th district,Member of the Ohio House of Representativesfrom the 99th district"
University of Miami,BBA,Bob McEwen,,1950-01-12,,Elizabeth Boebinger,,,4,,,,,"Member of the U.S. House of Representativesfrom Ohio's 6th district,Member of the Ohio House of Representativesfrom the 77th district"
,,Robert W. O'Donnell,,"September 25, 1943",,,,,,,,,,"83rd Speaker of the Pennsylvania House of Representatives,Member of the Pennsylvania House of Representativesfrom the 198th district,Democratic Leader of thePennsylvania House of Representatives,Democratic Whip of thePennsylvania House of Representatives"
"Willamette University,New York University","BA,JD",Bob Packwood,Robert William Packwood,1932-09-11,,Georgie Oberteuffer,,,,,,,,"Chair of the Senate Finance Committee,Chair of the Senate Commerce Committee,United States Senatorfrom Oregon,Member of the Oregon House of Representativesfrom the 6th district"
,,Bob Pearce,,24 February 1946,,Barbara Collins,,,,,,,,
,,Bob Peeler,,1952-01-04,,Donna Hoefer Peeler,,,"Caroline, Robert and Hunter",,,Businessman,,86th Lieutenant Governor of South Carolina
"Cornell University,Syracuse University","MPA,BS",Bob Perciasepe,Robert Perciasepe,1951-02-19,,,,,,,,,,"Acting Administrator of the Environmental Protection Agency,Deputy Administrator of the Environmental Protection Agency"
Oklahoma State University - Stillwater,,"Robert Dale ""Bob"" Price",,1927-09-07,"August 24, 2004","Martha A. ""Marty"" White Price",,,Grant Price,,,Rancher,,"Member of the U.S. House of Representatives from Texas,Member of the Texas Senatefrom the 31st district,Military service"
,,Bob Price,,1936-05-23,,Nancy Bogan Price,,,,,,,,Member of the Nevada General Assembly from the 17th district
"Ohio State University, Columbus",BS,Bob Peterson,,1962-03-15,,Lisa Peterson,,,3,,,,,"President pro tempore of the Ohio Senate,Member of the Ohio Senatefrom the 17th district,Member of the Ohio House of Representativesfrom the 85th district"
Pennsylvania State University,BS,Robert T. Regola,,,,Janette,,,3,,,,,Member of the Pennsylvania Senatefrom the 39th district
,,Bob Rommel,,1962-11-30,,,,,,,,,,Member of the Florida House of Representativesfrom the 106th district
University of Alaska Anchorage,,Bob Roses,,1947-05-23,,,,,,,,"Teacher, businessman",,Member of the Alaska House of Representativesfrom the 19th district
John Jay College of Criminal Justice,,Bob Robson,,,,,,,,,,,,"Member of the Arizona House of Representativesfrom the 18th[1] district,Member of the Arizona House of Representativesfrom the 20th district,Member of the Arizona House of Representativesfrom the 20th district,Member of the Arizona House of Representativesfrom the 6th district"
,,Bob Russell,,1946-03-31,,,,,,,,,,"High Steward of Colchester,Member of Parliament  for Colchester"
,,Bob Ryan,Bob Ryan,"May 28, 1963","July 1, 2021",,,,,,,,,"Mayor of Sheboygan, Wisconsin,Second District Alderperson for Sheboygan Common Council"
,,Bob Saroya,,1952-02-03,,,,,,,,,,Member of Parliamentfor Markham—Unionville
,,Bob Schuler,,1943-06-15,"June 19, 2009",,,,,,,,,"Member of the Ohio Senatefrom the 7th district,Member of the Ohio House of Representativesfrom the 36th district"
,,Bob Seale,,1941-10-04,,,,,,,,,,"Member of the Nevada Assembly from the 21st district,19th Treasurer of Nevada"
,,Bob Speller,,1956-02-29,"December 16, 2021",Joan Mouland,,,Christopher and Victoria,,,,,"Member of Parliament of Canada for Haldimand—Norfolk,Minister of Agriculture and Agri-Food"
"Harvard University,Stanford University",,Bob Sproull,,c. 1945,,,,,,,,,,
University of Melbourne,,Bob Sercombe,,1949-04-03,,,,,,,,Public servant,,Member of the Australian Parliamentfor Maribyrnong
Lafayette College,,Bob Smith,Robert Clinton Smith,1941-03-30,,Mary Jo Hutchinson,,,3,,,,,"United States Senatorfrom New Hampshire,Chair of the Senate Environment Committee,Chair of the Senate Ethics Committee,Member of the U.S. House of Representativesfrom New Hampshire's 1st district,Military service"
Arizona State University,,Bob Stump,Robert Lee Stump,"April 4, 1927","June 20, 2003",Nancy Stump,,,3,,,,,"Chair of the House Armed Services Committee,Chair of the House Veterans' Affairs Committee,Member of the U.S. House of Representativesfrom Arizona's 3rd district,Military service"
"University of California, Berkeley,Harvard University,Pembroke College, Oxford","BA,MA",Christopher Robert Stump,,1975-09-21,,,,,,,,,,"Arizona Corporation Commissioner,Member of the Arizona House of Representativesfrom the 9th district"
Royal Military Academy Sandhurst,,Bob Stewart,Robert Alexander Stewart,1949-07-07,,,,,,,,,,"Member of Parliament  for Beckenham,Military service"
"Excelsior College,Northern Virginia Community College","B.S.,Associate's Degree",Bob Thomas,,", U.S.",,Christina,,,,,,"Business owner,",,"Member of the Virginia House of Delegatesfrom the 28th district,Military service"
University of Virginia,,Bob Tata,,1930-01-27,"June 11, 2021",Martha Jeraldine Morris,,,,,,,,"Member of the Virginia House of Delegatesfrom the 85th district,Military service,Coaching career (HC unless noted),Head coaching record"
"University of Georgia,University of Virginia","BA,JD",Bob Trammell,Robert Thomas Trammell Jr.,1974-02-27,,,,,,,,,,"Minority Leader of the Georgia House of Representatives,Member of the Georgia House of Representativesfrom the 132nd district"
"Oregon State University,University of Puget Sound,Georgetown University","BS,JD,LLM",Bob Tiernan,,,,Susan,,,,,,,,"Chair of the Oregon Republican Party,Member of the Oregon House of Representativesfrom the 24th district"
Michigan State University,,J. Bob Traxler,Jerome Bob Traxler,1931-07-21,"October 30, 2019",,,,,,,Lawyer,,"Member of the U.S. House of Representativesfrom Michigan's 8th district,Member of the Michigan House of Representativesfrom the 101st districtBay County (1963-1964)"
"Alsop High School,University of London",,Bob Wareing,Robert Nelson Wareing,1930-08-20,1 May 2015,Betty Coward,,,,,,,,Member of Parliamentfor Liverpool West Derby
"University of Minnesota,John F. Kennedy School of Government,William Mitchell College of Law",,Bob Vanasek,,1949-04-02,,Mary Vanasek,,,3,,,,,"52nd Speaker of the Minnesota House of Representatives,Minnesota State Representative from District 25A,Minnesota State Representative from District 24A"
University of Dayton,,Bob Schaffer,Robert Warren Schaffer,1962-07-24,,Maureen Schaffer,,,,,,,,"Member of the U.S. House of Representativesfrom Colorado's 4th district,Member of the Colorado Senatefrom the 14th district"
"University of Kansas,Emporia State University",,Bob Whittaker,Robert Russell Whittaker,1939-09-18,,,,,,,,,,"Member of the U.S. House of Representativesfrom Kansas's 5th district,Member of the Kansas House of Representatives"
"University of California, Berkeley,Santa Clara University","BA,JD",Bob Wieckowski,,1955-02-18,,Sue Lemke (m. 2015),,,,,,,,"Member of the California State Senatefrom the 10th district,Member of the California State Assembly,Fremont City Councillor from District A"
San Diego State University,,Bob Wilson,Robert Carlton Wilson,1916-04-05,"August 12, 1999",,,,,,,,,Member of theU.S. House of Representativesfrom California
San Diego State University,,Bob Wilson,Robert Carlton Wilson,1916-04-05,"August 12, 1999",,,,,,,,,Member of theU.S. House of Representativesfrom California
,,Bob Young,,1982-05-04,,,,,4,,,Auctioneer,,Member of the Ohio House of Representativesfrom the 36th district
Brigham Young University,,Bob Worsley,,1956-02-15,,Christi Worsley 22 grandchildren,,,,,,,,Member of the Arizona Senatefrom the 25th[1] district
"Northern Lights College,Trinity Western University,University of British Columbia",,Bob Zimmer,,1968-10-20,,Val Zimmer,,,4,,,,,"Chair of the Standing Committee on Access to Information, Privacy and Ethics,Member of Parliamentfor Prince George—Peace River—Northern RockiesPrince George—Peace River (2011-2015)"
"University of Notre Dame,Wharton Business School",Wharton Business School,Bob Ziegelbauer,,1951-08-26,,,,,,,,,,Member of the Wisconsin State Assemblyfrom the 25th district
Santa Monica City College,,Bobbi Fiedler,Roberta Frances Horowitz,1937-04-22,"March 3, 2019",,,,,,,,,Member of the U.S. House of Representativesfrom California's 21st district
,,,Barbara Jane Sparrow,1935-07-11,,,,,,,,,,"Minister of Energy, Mines, and Resources,Minister of Forestry,Member of Parliamentfor Calgary Southwest(Calgary South; 1984–1988)"
,,Bobby Brantley,,1948-04-06,,,,,,,,,,"13th Lieutenant Governor of Florida,Member of the Florida House of Representatives"
,,,,,,,,,,,,,,
"University of Michigan–Flint,[1]",,Bobby Crim,,1931-12-10,,Marsha,,,"Donald Walter Crim, Douglas William Crim, David Warren Crim",,,,,"61st Speaker of the Michigan House of Representatives,Member of the Michigan House of Representativesfrom the 82nd district,Member of the Michigan House of Representativesfrom the 79th district"
University of Florida,BA,Bobby DuBose,,1971-02-15,,Yvette DuBose,,,2,,,,,"Minority Leader of the Florida House of Representatives,Member of the Florida House of Representativesfrom the 94th district"
,,Bobby Hogue,,1939-03-26,,,,,,,,,,"Member of the Arkansas House of Representativesfrom the 22nd district,Speaker of the Arkansas House of Representatives"
"Macalester College,William Mitchell College of Law","BA,JD",Bobby Joe Champion,,1963-12-17,,Angela,,,3,,,,,"Member of the Minnesota Senatefrom the 59th district,Member of the Minnesota House of Representativesfrom the 58B district"
,,Bobby Lugo,,,,,,,,,,,,Member of the Arizona House of Representativesfrom the 8th district
University College Galway,,Bobby Molloy,Robert Molloy,1936-07-09,2 October 2016,Phyllis Molloy,,,4,,,,,"Minister of State for Housing and Urban Renewal,Minister of State to the Government,Minister for Energy,Minister for Defence,Minister for Local Government,Parliamentary Secretary to the Minister for Education,Mayor of Galway,Teachta Dála"
"University of Central Florida,B.A.,Rollins College,M.A.,Embry-Riddle Aeronautical University,M.S.,Northcentral University,Ph.D.",,"Robert ""Bobby O"" Olszewski",,1977-09-06,,Allison,,,Reagan,,,,,Member of the Florida House of Representativesfrom the 44th district
"University of Texas, Austin",BA,Bobby Ray Inman,,1931-04-04,,,,,,,,,,"Acting Chair of the President's Intelligence Advisory Board,Deputy Director of Central Intelligence,Director of the National Security Agency,Military service"
,,Bobby Schostak,,,,,,,3,,,,,Chair of the Michigan Republican Party
